Data;Ano;Mes;Product;Region;Retailer;Sales Method;State;Price per Unit;Total Sales;Units Sold
jan/20;2020;1;Calçado de Rua Masculino;Nordeste;Foot Locker;Loja;New York;50;6000;120
jan/20;2020;1;Calçado Atlético Masculino;Nordeste;Foot Locker;Loja;New York;50;5000;100
jan/20;2020;1;Calçado de Rua Feminino;Nordeste;Foot Locker;Loja;New York;40;4000;100
jan/20;2020;1;Calçado Atlético Feminino;Nordeste;Foot Locker;Loja;New York;45;3825;85
jan/20;2020;1;Roupa Masculino;Nordeste;Foot Locker;Loja;New York;60;5400;90
jan/20;2020;1;Roupa Feminina;Nordeste;Foot Locker;Loja;New York;50;5000;100
jan/20;2020;1;Calçado de Rua Masculino;Nordeste;Foot Locker;Loja;New York;50;6250;125
jan/20;2020;1;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;50;4500;90
jan/20;2020;1;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;40;3800;95
jan/20;2020;1;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;45;3735;83
jan/20;2020;1;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;5400;90
jan/20;2020;1;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;50;5000;100
jan/20;2020;1;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;50;6100;122
jan/20;2020;1;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;50;4650;93
jan/20;2020;1;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;40;3800;95
jan/20;2020;1;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;45;3600;80
jan/20;2020;1;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;5100;85
jan/20;2020;1;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;50;4750;95
jan/20;2020;1;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;50;6000;120
fev/20;2020;2;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;50;4500;90
fev/20;2020;2;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;40;3600;90
fev/20;2020;2;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;45;3735;83
fev/20;2020;2;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;4980;83
fev/20;2020;2;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;50;4750;95
fev/20;2020;2;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;60;7320;122
fev/20;2020;2;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;55;5115;93
fev/20;2020;2;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;50;4500;90
fev/20;2020;2;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;50;4250;85
fev/20;2020;2;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;5280;88
mar/20;2020;3;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;65;6500;100
mar/20;2020;3;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;60;7500;125
mar/20;2020;3;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;55;5500;100
mar/20;2020;3;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;50;4650;93
mar/20;2020;3;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;50;4500;90
mar/20;2020;3;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;5400;90
mar/20;2020;3;Roupa Feminina;Nordeste;Foot Locker;Outlet;New York;65;6825;105
mar/20;2020;3;Calçado de Rua Masculino;Nordeste;Foot Locker;Outlet;New York;60;7680;128
mar/20;2020;3;Calçado Atlético Masculino;Nordeste;Foot Locker;Outlet;New York;55;5665;103
mar/20;2020;3;Calçado de Rua Feminino;Nordeste;Foot Locker;Outlet;New York;50;4750;95
mar/20;2020;3;Calçado Atlético Feminino;Nordeste;Foot Locker;Outlet;New York;50;4500;90
mar/20;2020;3;Roupa Masculino;Nordeste;Foot Locker;Outlet;New York;60;5580;93
